num_evs,num_tasks,ev_range,timesteps,num_tasks_finished
4,40,3000,177,38
5,40,3000,161,38
6,40,3000,155,38
7,40,3000,119,38
8,40,3000,165,38
9,40,3000,113,38
10,40,3000,117,38
11,40,3000,117,38
12,40,3000,117,38
13,40,3000,117,38
14,40,3000,117,38
15,40,3000,59,38
16,40,3000,59,38
17,40,3000,59,38
18,40,3000,59,38
19,40,3000,59,38
20,40,3000,59,38
21,40,3000,59,38
22,40,3000,59,38
23,40,3000,59,38
24,40,3000,59,38
25,40,3000,59,38
26,40,3000,59,38
27,40,3000,59,38
28,40,3000,59,38
29,40,3000,59,38
30,40,3000,57,38
31,40,3000,57,38
32,40,3000,57,38
33,40,3000,57,38
34,40,3000,57,38
35,40,3000,57,38
