cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,pos_ki,run_tag
1,ugv_2,4.65,20.75,10.0,0.362,0.778,0.79,0.0,0.905,0,18.7,54.15,0.101,6.0,2.0,0.5,0.1,0.3,combined_pi
2,ugv_5,4.75,30.2,10.0,0.417,0.892,1.654,0.0,0.761,0,25.15,70.15,0.101,6.0,2.0,0.5,0.1,0.3,combined_pi
3,ugv_0,4.75,24.5,10.0,0.379,0.675,0.692,0.075,0.731,1,13.6,52.9,0.101,6.0,2.0,0.5,0.1,0.3,combined_pi
4,ugv_1,4.75,11.5,10.0,0.373,0.83,1.043,0.08,0.841,1,18.1,44.4,0.102,6.0,2.0,0.5,0.1,0.3,combined_pi
