t_s,vx,vy,speed
176.12,6.754,1.133,6.848
177.03,5.007,0.542,5.036
177.9,5.32,-0.337,5.331
178.76,5.779,0.121,5.78
179.63,4.941,0.504,4.966
180.5,6.496,1.588,6.687
181.36,6.982,1.587,7.16
182.23,5.342,2.743,6.005
183.14,6.416,3.381,7.252
184.01,6.711,3.995,7.81
184.87,6.61,3.755,7.602
185.74,7.28,4.012,8.312
186.65,5.194,4.127,6.634
187.52,4.825,2.828,5.593
188.39,6.294,5.11,8.107
189.25,5.045,5.675,7.593
190.17,4.755,5.713,7.433
191.13,4.199,5.659,7.047
192.0,5.418,5.769,7.914
192.86,5.012,5.309,7.301
193.73,4.148,4.951,6.459
194.59,3.007,5.916,6.636
195.51,1.287,5.861,6.0
196.37,0.81,5.059,5.123
197.29,0.606,4.377,4.419
198.2,1.932,5.317,5.657
199.17,1.027,4.116,4.242
200.14,2.724,5.541,6.174
201.0,3.484,3.511,4.947
201.87,4.501,2.613,5.205
202.73,4.875,1.771,5.187
203.6,4.94,1.453,5.15
204.46,5.065,0.782,5.125
205.33,5.024,0.143,5.026
206.2,5.033,0.209,5.037
207.16,6.959,1.191,7.06
208.13,4.771,1.663,5.052
208.99,5.965,1.47,6.143
209.86,5.231,1.475,5.435
210.72,6.51,2.669,7.035
211.59,7.473,1.826,7.693
212.5,6.853,1.182,6.955
213.37,6.443,1.901,6.717
214.24,5.19,2.654,5.829
215.15,6.95,1.836,7.188
216.02,6.326,2.284,6.726
216.88,6.335,1.04,6.42
217.75,7.081,1.546,7.248
218.61,6.711,1.612,6.902
219.48,8.466,0.763,8.5
220.39,7.981,0.755,8.017
221.26,8.37,1.464,8.497
222.17,8.77,1.894,8.973
223.14,10.734,2.28,10.973
224.05,10.228,2.166,10.455
224.92,10.109,1.995,10.303
225.78,9.897,3.505,10.499
226.65,9.756,3.405,10.333
227.52,10.063,3.527,10.663
228.38,10.685,3.787,11.336
229.25,10.405,3.387,10.943
230.16,10.414,4.006,11.158
231.03,10.254,3.91,10.974
231.89,10.482,3.766,11.138
232.81,9.125,3.938,9.938
233.67,10.716,3.101,11.156
234.54,9.694,2.785,10.086
235.4,9.565,2.912,9.998
236.27,8.577,2.792,9.02
237.18,9.871,1.642,10.007
238.15,9.569,1.168,9.64
239.02,9.104,2.974,9.578
239.88,8.38,4.003,9.287
240.75,8.423,4.164,9.396
241.61,8.362,4.218,9.365
242.48,8.787,4.635,9.934
243.34,6.937,4.135,8.075
244.21,7.254,4.876,8.74
245.17,6.708,4.527,8.093
246.04,5.654,4.791,7.41
246.95,5.806,4.639,7.431
247.82,4.869,5.104,7.054
248.68,4.699,4.239,6.328
249.55,4.866,4.953,6.943
250.42,2.649,5.281,5.908
251.33,3.015,4.487,5.406
252.2,1.863,3.975,4.39
253.16,2.376,3.069,3.881
254.03,1.333,4.094,4.306
254.89,1.01,4.39,4.504
255.81,-0.681,4.982,5.028
256.67,0.434,5.686,5.702
257.54,0.147,4.761,4.763
258.4,0.572,4.761,4.795
259.27,0.548,3.53,3.572
260.18,1.669,3.638,4.003
261.15,2.074,2.448,3.208
262.01,1.79,2.481,3.06
262.88,1.762,1.685,2.438
263.74,1.351,0.581,1.47
264.61,1.807,2.453,3.047
265.48,1.568,5.159,5.392
266.34,3.181,6.345,7.097
267.21,3.954,6.308,7.445
268.18,2.818,5.909,6.546
269.04,2.63,5.994,6.546
269.91,2.78,6.549,7.114
270.77,2.99,4.362,5.288
271.64,2.917,4.214,5.125
272.51,3.25,3.48,4.762
273.37,2.761,4.485,5.267
274.24,2.921,6.471,7.1
275.15,3.532,7.041,7.877
276.02,3.335,7.811,8.493
276.89,2.303,6.891,7.265
277.75,1.595,6.446,6.64
278.67,1.257,5.545,5.686
279.53,1.836,3.864,4.278
280.45,1.851,4.734,5.083
281.31,1.729,4.307,4.641
282.18,1.694,3.472,3.863
283.04,1.537,3.283,3.625
283.91,1.396,2.651,2.996
284.78,0.768,2.968,3.066
285.64,-0.247,3.297,3.306
286.51,-0.339,4.573,4.586
287.42,0.822,4.819,4.889
288.34,1.155,4.468,4.615
289.2,1.316,4.305,4.502
290.17,-0.235,4.633,4.639
291.03,1.305,4.663,4.842
291.9,3.241,5.35,6.255
292.76,2.768,3.883,4.769
293.63,2.866,3.83,4.784
294.5,4.208,4.19,5.938
295.36,6.029,4.192,7.343
296.23,5.402,2.827,6.097
297.19,5.504,4.445,7.075
298.06,5.278,4.835,7.158
298.98,4.398,4.971,6.637
299.84,4.842,5.713,7.489
300.76,5.546,4.991,7.461
301.62,4.087,5.373,6.751
302.49,3.637,5.189,6.337
303.35,4.518,4.577,6.431
304.27,4.707,3.683,5.977
305.19,4.971,2.906,5.759
306.05,5.009,3.621,6.18
306.92,6.038,3.245,6.854
307.78,6.702,3.618,7.616
308.7,6.494,4.055,7.656
309.56,6.387,4.356,7.731
310.43,5.816,3.924,7.016
311.29,4.713,3.166,5.678
312.21,4.367,2.245,4.91
313.17,3.961,4.235,5.798
314.04,3.392,5.025,6.063
314.96,2.748,4.153,4.98
315.82,5.04,3.561,6.171
316.69,6.847,2.738,7.374
317.55,5.679,2.383,6.159
318.42,5.359,1.971,5.71
319.29,5.22,2.465,5.773
320.2,5.164,2.71,5.831
321.07,4.794,2.457,5.387
321.94,5.047,1.32,5.217
322.8,5.851,1.448,6.027
323.67,6.556,1.261,6.676
324.53,6.103,1.911,6.395
325.4,7.097,1.075,7.177
326.26,6.375,2.277,6.769
327.18,6.063,2.666,6.623
328.05,6.706,3.06,7.371
328.91,6.733,4.233,7.954
329.78,6.713,4.789,8.246
330.69,5.785,3.445,6.733
331.56,4.955,5.164,7.157
332.48,4.859,5.893,7.638
333.34,4.735,5.465,7.231
334.21,5.003,5.204,7.219
335.07,3.534,5.457,6.501
335.94,5.16,5.814,7.773
336.85,6.053,5.525,8.196
337.77,6.144,5.646,8.344
338.69,7.193,6.391,9.622
339.55,5.178,7.208,8.875
340.42,4.75,7.042,8.495
341.28,3.355,7.427,8.15
342.2,3.565,6.886,7.754
343.07,4.072,7.562,8.589
343.93,5.345,8.535,10.07
344.8,5.954,7.791,9.806
345.72,4.735,7.891,9.203
346.58,4.439,8.615,9.691
