strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
proactive_fuel,12645,True,35,35,0,518,19222.0,18374.0,848.0,4.41,0.7265,8,5889.0,7066.8,339.62,7,maze.csv,2,1,150,0.03
proactive_fuel,12641,True,35,35,0,474,19215.0,18368.0,847.0,4.41,0.7265,8,4575.0,5490.0,437.16,7,maze.csv,2,2,150,0.03
proactive_fuel,12639,True,35,35,0,474,19212.0,18366.0,846.0,4.4,0.7266,8,4569.0,5482.8,437.73,7,maze.csv,2,4,150,0.04
depot_only,13540,True,36,36,0,111,25176.0,19525.0,5651.0,22.45,0.721,0,0,0.0,0.0,8,maze.csv,2,1,150,0.02
fixed_station_evrp,14527,True,36,36,0,509,25968.0,21331.0,4637.0,17.86,0.7342,10,0,0.0,0.0,8,maze.csv,2,1,150,0.03
reactive_drone,12836,True,36,36,1,-364,22905.0,21575.0,1330.0,5.81,0.8404,7,3378.0,4053.6,518.06,8,maze.csv,2,1,150,0.02
proactive_fuel,12976,True,36,36,0,745,22935.0,21585.0,1350.0,5.89,0.8317,10,3927.0,4712.4,636.62,8,maze.csv,2,1,150,0.03
proactive_fuel,12971,True,36,36,0,746,22932.0,21583.0,1349.0,5.88,0.832,10,3906.0,4687.2,640.04,8,maze.csv,2,2,150,0.03
proactive_fuel,12970,True,36,36,0,747,22940.0,21592.0,1348.0,5.88,0.8324,10,3900.0,4680.0,641.03,8,maze.csv,2,4,150,0.04
depot_only,18576,True,40,40,0,64,29305.0,23881.0,5424.0,18.51,0.6428,0,0,0.0,0.0,9,maze.csv,2,1,150,0.03
fixed_station_evrp,17867,True,40,40,0,120,26653.0,22444.0,4209.0,15.79,0.6281,8,0,0.0,0.0,9,maze.csv,2,1,150,0.03
reactive_drone,17100,True,40,40,0,233,24600.0,23161.0,1439.0,5.85,0.6772,8,4521.0,5425.2,442.38,9,maze.csv,2,1,150,0.03
proactive_fuel,17286,True,40,40,0,95,24793.0,23257.0,1536.0,6.2,0.6727,10,4560.0,5472.0,548.25,9,maze.csv,2,1,150,0.04
proactive_fuel,17285,True,40,40,0,95,24793.0,23257.0,1536.0,6.2,0.6728,10,4722.0,5666.4,529.44,9,maze.csv,2,2,150,0.04
proactive_fuel,17286,True,40,40,0,94,24793.0,23257.0,1536.0,6.2,0.6727,10,4713.0,5655.6,530.45,9,maze.csv,2,4,150,0.05
depot_only,16578,True,39,39,0,166,30176.0,22961.0,7215.0,23.91,0.6925,0,0,0.0,0.0,10,maze.csv,2,1,150,0.03
fixed_station_evrp,17074,True,39,39,0,4,26830.0,22816.0,4014.0,14.96,0.6682,10,0,0.0,0.0,10,maze.csv,2,1,150,0.03
