strategy,makespan,completed,tasks_done,tasks_total,fuel_violations,min_fuel,total_truck_distance,active_distance,detour_distance,detour_percentage,uptime_ratio,total_swaps,drone_flight_distance,drone_energy,drone_efficiency_percentage,seed,maze,num_trucks,drones_per_station,service_frames,wall_time_s
proactive_fuel,5143,True,40,40,0,395,17958.0,14511.0,3447.0,19.19,0.4703,4,2316.0,2779.2,431.78,5,maze.csv,6,1,150,0.02
proactive_fuel,3737,True,35,35,0,172,15264.0,11955.0,3309.0,21.68,0.5332,2,2229.0,2674.8,224.32,6,maze.csv,6,1,150,0.01
proactive_fuel,3750,True,35,35,0,228,14473.0,10491.0,3982.0,27.51,0.4663,1,558.0,669.6,448.03,7,maze.csv,6,1,150,0.01
proactive_fuel,4489,True,36,36,0,172,15263.0,12006.0,3257.0,21.34,0.4458,1,408.0,489.6,612.75,8,maze.csv,6,1,150,0.01
proactive_fuel,4211,True,40,40,0,228,18199.0,14388.0,3811.0,20.94,0.5695,3,1653.0,1983.6,453.72,9,maze.csv,6,1,150,0.02
proactive_fuel,4906,True,39,39,0,338,17365.0,14396.0,2969.0,17.1,0.4891,2,708.0,849.6,706.21,10,maze.csv,6,1,150,0.02
fixed_station_evrp,5167,True,38,38,0,349,15591.0,12230.0,3361.0,21.56,0.3945,1,0,0.0,0.0,1,maze.csv,6,1,600,0.01
fixed_station_evrp,5520,True,36,36,0,145,18612.0,13922.0,4690.0,25.2,0.4204,3,0,0.0,0.0,2,maze.csv,6,1,600,0.01
fixed_station_evrp,8451,True,40,40,0,116,20125.0,15662.0,4463.0,22.18,0.3089,4,0,0.0,0.0,3,maze.csv,6,1,600,0.02
fixed_station_evrp,5634,True,36,36,0,63,17256.0,12804.0,4452.0,25.8,0.3788,2,0,0.0,0.0,4,maze.csv,6,1,600,0.01
fixed_station_evrp,7476,True,40,40,0,395,20070.0,15234.0,4836.0,24.1,0.3396,4,0,0.0,0.0,5,maze.csv,6,1,600,0.02
fixed_station_evrp,4637,True,35,35,0,172,16509.0,12439.0,4070.0,24.65,0.4471,2,0,0.0,0.0,6,maze.csv,6,1,600,0.01
fixed_station_evrp,4763,True,35,35,0,111,15039.0,10548.0,4491.0,29.86,0.3691,1,0,0.0,0.0,7,maze.csv,6,1,600,0.01
fixed_station_evrp,5511,True,36,36,0,172,15837.0,12242.0,3595.0,22.7,0.3702,1,0,0.0,0.0,8,maze.csv,6,1,600,0.01
fixed_station_evrp,5111,True,40,40,0,169,19731.0,14986.0,4745.0,24.05,0.4887,3,0,0.0,0.0,9,maze.csv,6,1,600,0.01
fixed_station_evrp,5635,True,39,39,0,173,17875.0,14531.0,3344.0,18.71,0.4298,2,0,0.0,0.0,10,maze.csv,6,1,600,0.01
reactive_drone,5121,True,38,38,0,349,15535.0,12229.0,3306.0,21.28,0.398,1,69.0,82.8,3623.19,1,maze.csv,6,1,600,0.01
