cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,run_tag
1,ugv_5,5.46,13.25,10.0,0.061,0.407,0.578,0.836,1.0,0,19.25,48.01,0.0,0.0,0.0,0.0,0.0,calm
2,ugv_5,5.51,12.7,10.0,0.061,0.39,0.568,0.836,1.0,0,18.65,46.91,0.0,0.0,0.0,0.0,0.0,calm
3,ugv_4,5.51,24.9,10.0,0.061,0.395,0.566,0.836,1.0,0,30.85,71.31,0.0,0.0,0.0,0.0,0.0,calm
4,ugv_3,5.51,23.15,10.0,0.063,0.409,0.579,0.831,1.0,0,29.0,67.71,0.0,0.0,0.0,0.0,0.0,calm
