task_pos_x,task_pos_y,ugv,timestep
10,11,2,2
7,12,2,8
16,12,0,9
18,10,0,13
5,5,1,13
10,15,2,14
17,9,0,15
10,14,2,15
9,4,1,18
14,14,0,25
6,12,2,25
1,5,1,29
1,4,1,30
1,3,1,31
4,16,2,31
4,18,2,33
5,16,2,38
7,4,1,42
4,17,2,42
10,13,0,44
10,19,2,52
1,9,1,53
16,19,0,56
16,16,2,63
9,3,1,67
8,13,2,78
16,11,0,82
4,15,2,86
