cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,run_tag
1,ugv_4,5.45,16.15,10.0,0.653,1.113,1.327,0.0,0.458,2,16.85,48.5,0.101,6.0,2.0,0.5,0.1,combined
2,ugv_3,5.45,33.8,10.0,0.884,1.196,1.291,0.0,0.06,1,103.55,152.85,0.1,6.0,2.0,0.5,0.1,combined
