cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,run_tag
1,ugv_5,5.42,10.05,10.0,0.624,0.823,0.849,0.0,0.303,1,19.5,45.02,0.096,6.0,2.0,0.5,0.1,combined
2,ugv_1,5.47,16.3,10.0,0.642,0.822,0.9,0.0,0.408,3,31.4,63.22,0.098,6.0,2.0,0.5,0.1,combined
