cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,run_tag
1,ugv_3,5.36,5.15,10.0,0.817,1.279,1.554,0.0,0.169,1,9.6,30.16,0.1,6.0,2.0,0.5,0.1,combined
2,ugv_0,5.36,20.75,10.0,0.843,1.546,1.757,0.0,0.075,1,30.9,67.06,0.099,6.0,2.0,0.5,0.1,combined
