t_s,vx,vy,speed
1.37,5.085,2.994,5.901
2.24,4.393,3.45,5.585
3.1,3.469,3.465,4.903
4.07,3.706,2.799,4.645
4.94,2.589,3.117,4.052
5.8,3.643,2.651,4.505
6.72,3.404,4.282,5.47
7.58,2.988,3.818,4.848
8.45,5.264,2.491,5.824
9.31,5.874,0.874,5.939
10.18,5.177,2.556,5.774
11.09,6.176,1.919,6.467
12.06,5.577,2.223,6.004
12.93,4.318,2.919,5.212
13.79,6.303,1.839,6.566
14.66,4.325,2.337,4.916
15.52,4.21,4.141,5.906
16.39,4.07,4.106,5.781
17.31,3.916,3.234,5.079
18.22,4.551,2.15,5.034
19.09,5.564,2.367,6.046
20.05,5.882,2.06,6.232
20.92,4.895,3.889,6.252
21.78,5.249,5.004,7.252
22.7,5.316,7.264,9.001
23.56,5.528,6.04,8.188
24.43,6.087,6.241,8.718
25.29,3.826,5.937,7.064
26.21,4.745,6.485,8.035
27.08,4.391,5.176,6.787
27.94,4.815,4.058,6.297
28.86,5.943,3.802,7.055
29.72,4.946,3.338,5.967
30.59,4.15,2.927,5.079
31.45,3.501,2.72,4.433
32.32,3.789,3.406,5.095
33.18,2.841,2.639,3.877
34.1,2.597,2.856,3.861
35.06,2.849,1.167,3.079
35.93,4.513,0.678,4.563
36.79,6.111,-0.175,6.113
37.66,5.062,0.042,5.062
38.53,4.781,-0.228,4.786
39.44,5.384,-1.393,5.561
40.31,6.214,-1.561,6.407
41.22,7.136,-1.346,7.262
42.09,5.595,-0.386,5.609
42.95,7.455,0.03,7.455
43.82,7.233,0.094,7.234
44.68,6.15,-0.163,6.152
45.55,4.778,-0.983,4.878
46.41,4.788,0.989,4.889
47.28,5.201,1.738,5.484
48.14,5.328,1.216,5.465
49.06,5.385,1.141,5.505
49.93,6.109,2.552,6.621
50.79,7.044,3.048,7.675
51.66,7.698,2.576,8.117
52.52,7.264,2.554,7.7
53.44,6.154,1.806,6.414
54.36,5.172,1.641,5.426
55.22,3.359,3.729,5.019
56.09,3.629,3.823,5.271
56.95,4.246,3.726,5.649
57.82,4.683,4.21,6.297
58.68,5.298,2.216,5.743
59.55,6.125,2.553,6.636
60.42,6.494,3.135,7.212
61.28,6.505,4.515,7.918
62.15,5.946,4.943,7.733
63.11,5.522,4.868,7.361
64.08,7.542,6.385,9.882
64.94,7.476,6.971,10.222
65.86,6.956,5.002,8.567
66.72,7.159,4.659,8.542
67.59,5.778,2.556,6.318
68.5,6.88,3.204,7.589
69.37,7.078,2.632,7.551
70.24,6.789,3.998,7.879
71.1,6.016,4.219,7.348
72.07,4.935,4.385,6.601
72.93,3.898,3.922,5.53
73.8,3.616,4.733,5.956
74.67,4.035,4.104,5.755
75.58,3.924,4.066,5.65
76.45,3.913,3.275,5.103
77.31,4.643,3.578,5.861
78.18,4.74,5.853,7.531
79.09,4.249,6.282,7.584
79.96,2.875,7.755,8.27
80.82,2.18,6.475,6.833
81.69,2.197,5.386,5.817
82.56,1.287,5.936,6.074
83.42,2.167,5.773,6.166
84.29,2.04,6.191,6.518
85.15,1.693,5.333,5.595
86.12,2.77,4.406,5.204
87.09,2.138,4.855,5.304
87.95,2.071,3.905,4.42
88.82,2.143,3.703,4.278
89.68,1.7,3.99,4.337
90.55,2.555,4.932,5.554
91.41,1.579,4.954,5.2
92.28,1.909,3.028,3.58
93.14,1.369,3.176,3.459
94.11,0.064,3.619,3.619
94.97,1.639,2.524,3.01
95.84,3.211,5.891,6.709
96.75,3.064,5.449,6.251
97.67,2.779,2.727,3.894
98.59,1.826,3.658,4.089
99.45,1.818,4.284,4.653
100.32,2.048,4.22,4.69
101.18,2.751,3.238,4.249
102.1,3.268,3.598,4.86
102.96,2.289,2.195,3.172
103.83,2.02,4.835,5.24
104.7,3.661,5.809,6.866
105.56,3.425,5.875,6.8
106.43,3.355,6.682,7.477
107.29,3.911,4.723,6.132
108.16,4.67,5.481,7.201
109.12,4.145,4.687,6.257
110.09,4.656,4.122,6.218
110.95,4.87,4.164,6.408
111.82,4.327,3.134,5.343
112.68,6.313,2.548,6.807
113.55,6.327,2.577,6.831
114.41,6.111,1.353,6.259
115.28,5.133,0.473,5.155
116.15,6.091,0.116,6.092
117.11,5.133,1.327,5.302
118.03,5.355,2.767,6.028
118.94,5.755,2.943,6.464
119.86,4.814,4.44,6.549
120.72,4.597,3.623,5.853
121.59,4.373,3.507,5.605
122.45,5.665,5.752,8.074
123.32,5.303,6.47,8.365
124.18,4.485,6.024,7.51
125.1,3.805,5.937,7.052
125.96,4.386,5.935,7.38
126.83,4.032,5.717,6.996
127.7,3.398,6.025,6.918
128.56,3.131,6.056,6.818
129.43,4.094,5.324,6.716
130.29,5.43,3.158,6.282
131.16,4.744,4.116,6.281
132.12,4.4,3.232,5.46
132.99,3.918,4.714,6.129
133.86,5.533,3.43,6.51
134.72,4.797,2.89,5.6
135.59,6.002,2.822,6.632
136.45,6.17,3.116,6.912
137.32,5.977,2.911,6.648
138.18,6.698,3.088,7.375
139.1,5.483,3.087,6.293
140.02,4.176,3.287,5.315
140.93,3.78,2.536,4.552
141.8,2.017,4.673,5.09
142.66,2.134,6.176,6.535
143.53,1.579,6.336,6.53
144.39,3.489,6.824,7.664
145.31,2.991,4.721,5.588
146.17,1.833,5.076,5.396
147.14,2.735,5.605,6.236
148.11,2.955,5.721,6.44
149.02,3.675,5.373,6.51
149.89,4.092,5.733,7.043
150.75,3.297,6.364,7.167
151.67,4.947,8.331,9.689
152.58,5.381,7.868,9.532
153.5,4.146,8.258,9.24
154.37,4.908,7.129,8.655
155.23,5.526,6.448,8.491
156.15,4.346,6.237,7.602
157.11,4.047,5.511,6.837
157.98,3.581,4.984,6.138
158.84,2.416,6.844,7.258
159.71,3.929,5.605,6.845
160.57,4.455,5.581,7.141
161.44,4.366,7.012,8.26
162.3,5.002,5.746,7.618
163.17,4.603,4.005,6.102
164.13,4.911,4.181,6.45
165.1,5.017,4.001,6.417
165.97,4.979,4.28,6.566
166.83,6.622,4.442,7.973
167.7,6.127,4.885,7.836
168.56,6.715,5.872,8.92
169.43,7.508,5.501,9.307
170.29,8.04,4.76,9.344
171.16,6.455,4.105,7.65
172.12,6.745,2.702,7.266
172.99,7.975,2.768,8.442
173.86,8.106,2.576,8.506
174.72,6.541,2.476,6.994
175.59,6.781,1.74,7.001
176.45,6.754,1.133,6.848
177.32,5.007,0.542,5.036
178.18,5.32,-0.337,5.331
179.15,5.779,0.121,5.78
180.12,4.941,0.504,4.966
180.98,6.496,1.588,6.687
181.85,6.982,1.587,7.16
182.76,5.342,2.743,6.005
183.63,6.416,3.381,7.252
184.49,6.711,3.995,7.81
185.36,6.61,3.755,7.602
186.22,7.28,4.012,8.312
187.14,5.194,4.127,6.634
188.01,4.825,2.828,5.593
188.87,6.294,5.11,8.107
189.79,5.045,5.675,7.593
190.65,4.755,5.713,7.433
191.52,4.199,5.659,7.047
192.38,5.418,5.769,7.914
193.25,5.012,5.309,7.301
194.11,4.148,4.951,6.459
194.98,3.007,5.916,6.636
195.84,1.287,5.861,6.0
196.71,0.81,5.059,5.123
197.57,0.606,4.377,4.419
198.44,1.932,5.317,5.657
199.31,1.027,4.116,4.242
200.17,2.724,5.541,6.174
201.14,3.484,3.511,4.947
202.0,4.501,2.613,5.205
202.87,4.875,1.771,5.187
203.73,4.94,1.453,5.15
204.6,5.065,0.782,5.125
205.46,5.024,0.143,5.026
206.33,5.033,0.209,5.037
207.2,6.959,1.191,7.06
208.16,4.771,1.663,5.052
209.13,5.965,1.47,6.143
210.04,5.231,1.475,5.435
210.91,6.51,2.669,7.035
211.78,7.473,1.826,7.693
212.64,6.853,1.182,6.955
213.51,6.443,1.901,6.717
214.37,5.19,2.654,5.829
215.24,6.95,1.836,7.188
216.15,6.326,2.284,6.726
217.02,6.335,1.04,6.42
217.88,7.081,1.546,7.248
218.75,6.711,1.612,6.902
219.62,8.466,0.763,8.5
220.48,7.981,0.755,8.017
221.35,8.37,1.464,8.497
222.21,8.77,1.894,8.973
223.13,10.734,2.28,10.973
223.99,10.228,2.166,10.455
224.86,10.109,1.995,10.303
225.72,9.897,3.505,10.499
226.59,9.756,3.405,10.333
227.45,10.063,3.527,10.663
228.32,10.685,3.787,11.336
229.18,10.405,3.387,10.943
230.15,10.414,4.006,11.158
231.01,10.254,3.91,10.974
231.88,10.482,3.766,11.138
232.75,9.125,3.938,9.938
233.61,10.716,3.101,11.156
234.48,9.694,2.785,10.086
235.34,9.565,2.912,9.998
236.21,8.577,2.792,9.02
237.13,9.871,1.642,10.007
238.04,9.569,1.168,9.64
238.91,9.104,2.974,9.578
239.77,8.38,4.003,9.287
240.64,8.423,4.164,9.396
241.5,8.362,4.218,9.365
242.37,8.787,4.635,9.934
243.29,6.937,4.135,8.075
244.15,7.254,4.876,8.74
245.02,6.708,4.527,8.093
245.88,5.654,4.791,7.41
246.75,5.806,4.639,7.431
247.62,4.869,5.104,7.054
248.48,4.699,4.239,6.328
249.35,4.866,4.953,6.943
