cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,run_tag
1,ugv_5,5.39,12.8,10.0,0.205,0.603,0.904,0.154,0.945,0,17.95,46.19,0.0,0.0,0.0,0.5,0.0,gnss05
2,ugv_1,5.39,17.95,10.0,0.837,1.475,1.698,0.0,0.04,1,26.9,60.29,0.0,0.0,0.0,0.5,0.0,gnss05
3,ugv_4,5.34,20.45,10.0,0.499,0.694,0.706,0.0,0.642,2,25.2,61.04,0.0,0.0,0.0,0.5,0.0,gnss05
4,ugv_3,5.49,19.0,10.0,0.249,0.947,1.262,0.134,0.886,0,26.0,60.54,0.0,0.0,0.0,0.5,0.0,gnss05
