cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,run_tag
1,ugv_4,5.4,11.85,10.0,0.168,0.422,0.626,0.284,0.995,0,17.2,44.5,0.0,0.0,0.0,0.5,0.0,gnss05
2,ugv_3,5.45,25.85,10.0,0.359,1.535,2.098,0.234,0.841,0,33.5,74.85,0.0,0.0,0.0,0.5,0.0,gnss05
3,ugv_5,5.44,27.45,10.0,0.207,0.792,1.265,0.279,0.925,0,34.6,77.54,0.0,0.0,0.0,0.5,0.0,gnss05
