cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,run_tag
1,ugv_2,5.38,18.6,10.0,0.286,0.705,0.897,0.035,0.915,0,24.15,58.18,0.0,0.0,0.0,0.5,0.0,gnss05
2,ugv_5,5.38,25.55,10.0,0.246,1.082,1.585,0.373,0.905,0,31.75,72.73,0.0,0.0,0.0,0.5,0.0,gnss05
3,ugv_0,5.48,5.25,10.0,0.201,0.866,1.15,0.423,0.9,0,11.1,31.88,0.0,0.0,0.0,0.5,0.0,gnss05
4,ugv_1,5.48,13.65,10.0,0.835,1.148,1.222,0.0,0.015,0,19.15,48.33,0.0,0.0,0.0,0.5,0.0,gnss05
