cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,pos_ki,run_tag
1,ugv_3,4.93,10.4,10.0,0.392,0.982,1.0,0.139,0.736,1,13.6,38.98,0.0,9.0,3.0,0.0,0.0,0.3,wind9_gust3_pi
2,ugv_0,4.83,21.35,10.0,0.399,0.748,0.764,0.0,0.826,1,31.65,67.88,0.0,9.0,3.0,0.0,0.0,0.3,wind9_gust3_pi
3,ugv_2,4.73,69.55,10.0,0.358,0.656,0.663,0.119,0.831,1,29.5,113.83,0.0,9.0,3.0,0.0,0.0,0.3,wind9_gust3_pi
