cycle,truck,takeoff_end_s,approach_time_s,swap_hover_s,hover_mean_err_m,hover_p95_err_m,hover_max_err_m,frac_within_tol,frac_within_delta,capture_losses,return_land_s,cycle_total_s,msg_drop_frac,wind_speed,wind_gust,pos_noise,drop_prob,pos_ki,run_tag
1,ugv_2,4.81,22.55,10.0,0.261,0.562,0.572,0.313,1.0,0,17.55,54.96,0.0,9.0,3.0,0.0,0.0,0.3,wind9_gust3_pi
2,ugv_5,4.86,38.4,10.0,0.437,1.023,1.042,0.0,0.736,1,25.25,78.56,0.0,9.0,3.0,0.0,0.0,0.3,wind9_gust3_pi
3,ugv_0,5.26,21.85,10.0,0.37,0.664,0.67,0.005,0.816,1,14.7,51.86,0.0,9.0,3.0,0.0,0.0,0.3,wind9_gust3_pi
