t_s,vx,vy,speed
1.37,7.627,4.49,8.851
2.24,6.589,5.175,8.378
3.11,5.203,5.197,7.354
4.07,5.56,4.199,6.967
4.94,3.884,4.675,6.078
5.81,5.464,3.976,6.758
6.67,5.107,6.423,8.205
7.54,4.483,5.727,7.273
8.41,7.896,3.737,8.736
9.27,8.811,1.311,8.909
10.14,7.766,3.834,8.661
11.1,9.264,2.878,9.701
12.07,8.366,3.334,9.006
12.93,6.478,4.378,7.818
13.8,9.455,2.758,9.849
14.66,6.487,3.506,7.374
15.53,6.315,6.212,8.858
16.4,6.105,6.159,8.672
17.26,5.875,4.851,7.619
18.13,6.827,3.226,7.55
19.09,8.345,3.551,9.069
19.96,8.823,3.09,9.348
20.82,7.342,5.833,9.377
21.69,7.873,7.506,10.878
22.56,7.973,10.895,13.501
23.42,8.292,9.061,12.282
24.29,9.13,9.361,13.077
25.16,5.739,8.906,10.595
26.07,7.117,9.727,12.053
26.94,6.586,7.764,10.181
27.8,7.223,6.086,9.446
28.67,8.915,5.703,10.583
29.54,7.419,5.008,8.951
30.4,6.225,4.391,7.618
31.27,5.251,4.08,6.65
32.13,5.683,5.109,7.642
33.1,4.262,3.958,5.816
33.97,3.896,4.284,5.791
34.83,4.274,1.75,4.618
35.75,6.769,1.017,6.845
36.61,9.166,-0.263,9.17
37.48,7.593,0.063,7.593
38.34,7.171,-0.342,7.179
39.21,8.076,-2.089,8.342
40.07,9.321,-2.342,9.61
40.94,10.704,-2.019,10.893
41.8,8.393,-0.578,8.413
42.67,11.182,0.045,11.182
43.54,10.85,0.141,10.851
44.4,9.225,-0.244,9.229
45.27,7.167,-1.474,7.317
46.14,7.182,1.483,7.334
47.1,7.802,2.607,8.226
47.97,7.992,1.823,8.197
48.83,8.078,1.712,8.257
49.75,9.164,3.828,9.931
50.62,10.566,4.573,11.513
51.48,11.546,3.863,12.176
52.35,10.896,3.83,11.55
53.21,9.232,2.71,9.621
54.13,7.757,2.461,8.139
55.09,5.038,5.594,7.528
55.96,5.444,5.735,7.907
56.82,6.369,5.589,8.474
57.69,7.025,6.315,9.446
58.56,7.948,3.324,8.615
59.42,9.188,3.83,9.954
60.29,9.742,4.703,10.817
61.15,9.757,6.773,11.877
62.12,8.919,7.415,11.599
62.98,8.283,7.301,11.042
63.85,11.313,9.577,14.822
64.76,11.214,10.457,15.333
65.63,10.433,7.503,12.851
66.49,10.739,6.989,12.813
67.36,8.668,3.834,9.478
68.27,10.32,4.806,11.384
69.14,10.617,3.947,11.327
70.11,10.184,5.997,11.819
71.02,9.024,6.329,11.022
71.89,7.402,6.577,9.902
72.8,5.847,5.883,8.294
73.67,5.424,7.099,8.934
74.53,6.052,6.157,8.633
75.4,5.886,6.098,8.476
76.27,5.87,4.913,7.654
77.18,6.964,5.366,8.792
78.1,7.11,8.779,11.297
78.96,6.373,9.423,11.375
79.88,4.312,11.632,12.406
80.74,3.27,9.713,10.249
81.61,3.295,8.079,8.725
82.48,1.93,8.905,9.112
83.34,3.25,8.659,9.249
84.21,3.06,9.286,9.777
85.12,2.539,7.999,8.392
85.99,4.155,6.609,7.807
86.9,3.207,7.282,7.957
87.77,3.106,5.857,6.63
88.63,3.214,5.554,6.417
89.5,2.55,5.985,6.506
90.36,3.832,7.397,8.331
91.23,2.368,7.432,7.8
92.09,2.864,4.542,5.37
93.01,2.054,4.764,5.188
93.88,0.096,5.428,5.429
94.74,2.459,3.786,4.515
95.61,4.817,8.836,10.063
96.47,4.596,8.173,9.377
97.34,4.169,4.091,5.841
98.2,2.74,5.487,6.133
99.12,2.726,6.426,6.98
99.99,3.071,6.329,7.035
100.85,4.126,4.857,6.373
101.72,4.902,5.397,7.29
102.63,3.434,3.293,4.758
103.5,3.03,7.253,7.86
104.36,5.491,8.713,10.299
105.23,5.138,8.812,10.201
106.14,5.033,10.023,11.216
107.11,5.867,7.084,9.198
107.97,7.005,8.222,10.802
108.84,6.218,7.031,9.386
109.7,6.984,6.183,9.327
110.57,7.306,6.246,9.611
111.44,6.491,4.701,8.014
112.3,9.469,3.822,10.211
113.17,9.49,3.866,10.247
114.13,9.166,2.03,9.388
115.0,7.699,0.709,7.732
115.86,9.137,0.173,9.138
116.73,7.7,1.99,7.953
117.59,8.033,4.15,9.042
118.46,8.633,4.414,9.696
119.37,7.22,6.66,9.823
120.24,6.895,5.435,8.78
121.1,6.559,5.261,8.408
121.97,8.498,8.628,12.11
122.83,7.954,9.705,12.548
123.7,6.728,9.036,11.266
124.57,5.708,8.905,10.577
125.43,6.579,8.903,11.07
126.35,6.049,8.575,10.494
127.21,5.098,9.038,10.377
128.13,4.696,9.084,10.226
128.99,6.14,7.986,10.074
129.86,8.145,4.737,9.422
130.72,7.116,6.174,9.421
131.64,6.601,4.849,8.19
132.51,5.877,7.071,9.194
133.37,8.299,5.144,9.764
134.24,7.195,4.336,8.4
135.15,9.002,4.234,9.948
136.12,9.255,4.674,10.368
136.99,8.966,4.366,9.972
137.85,10.046,4.632,11.063
138.72,8.225,4.631,9.439
139.63,6.264,4.931,7.972
140.55,5.669,3.804,6.827
141.41,3.026,7.01,7.635
142.28,3.201,9.265,9.802
143.15,2.369,9.504,9.795
144.01,5.234,10.236,11.496
144.88,4.486,7.081,8.383
145.74,2.749,7.613,8.095
146.61,4.102,8.407,9.354
147.48,4.433,8.582,9.659
148.34,5.512,8.06,9.764
149.26,6.138,8.599,10.565
150.12,4.945,9.545,10.75
150.99,7.421,12.497,14.534
151.85,8.071,11.802,14.298
152.72,6.219,12.387,13.861
153.58,7.361,10.694,12.983
154.5,8.288,9.671,12.737
155.36,6.519,9.356,11.403
156.28,6.07,8.267,10.256
157.14,5.372,7.477,9.207
158.01,3.625,10.267,10.888
158.87,5.893,8.408,10.268
159.74,6.682,8.372,10.711
160.61,6.549,10.518,12.39
161.52,7.503,8.619,11.427
162.39,6.905,6.008,9.153
163.3,7.367,6.272,9.675
164.17,7.525,6.002,9.625
165.13,7.469,6.42,9.849
166.0,9.933,6.662,11.96
166.87,9.191,7.327,11.754
167.73,10.072,8.808,13.38
168.6,11.261,8.252,13.961
169.46,12.06,7.14,14.015
170.33,9.683,6.157,11.475
171.19,10.118,4.053,10.9
172.16,11.963,4.152,12.663
173.13,12.16,3.864,12.759
174.04,9.812,3.714,10.491
174.91,10.172,2.611,10.502
175.77,10.13,1.699,10.272
176.64,7.511,0.813,7.555
177.5,7.98,-0.506,7.996
178.37,8.669,0.182,8.671
179.23,7.411,0.756,7.449
180.15,9.743,2.383,10.03
181.01,10.472,2.381,10.74
181.88,8.013,4.115,9.008
182.74,9.623,5.072,10.878
183.61,10.066,5.993,11.715
184.48,9.914,5.632,11.403
185.34,10.92,6.018,12.468
186.21,7.791,6.19,9.951
187.17,7.237,4.242,8.389
188.14,9.44,7.665,12.16
189.0,7.567,8.513,11.39
189.87,7.132,8.57,11.149
190.73,6.299,8.489,10.571
191.6,8.127,8.653,11.871
192.47,7.517,7.963,10.951
193.33,6.223,7.427,9.689
194.2,4.51,8.874,9.954
195.16,1.931,8.791,9.001
196.03,1.215,7.588,7.684
196.89,0.909,6.565,6.628
197.76,2.898,7.976,8.486
198.63,1.541,6.174,6.363
199.49,4.086,8.311,9.261
200.41,5.227,5.266,7.42
201.27,6.752,3.92,7.808
202.14,7.313,2.656,7.781
203.01,7.41,2.18,7.724
203.87,7.597,1.173,7.687
204.74,7.536,0.214,7.539
205.6,7.549,0.314,7.556
206.47,10.439,1.786,10.59
207.33,7.156,2.494,7.579
208.2,8.947,2.205,9.215
209.17,7.846,2.213,8.152
210.03,9.764,4.003,10.553
210.9,11.21,2.739,11.54
211.76,10.28,1.773,10.432
