t_s,vx,vy,speed
176.79,2.121,2.121,3.0
177.65,2.121,2.121,3.0
178.52,2.121,2.121,3.0
179.39,2.121,2.121,3.0
180.3,2.121,2.121,3.0
181.17,2.121,2.121,3.0
182.13,2.121,2.121,3.0
183.0,2.121,2.121,3.0
183.86,2.121,2.121,3.0
184.78,2.121,2.121,3.0
185.64,2.121,2.121,3.0
186.51,2.121,2.121,3.0
187.37,2.121,2.121,3.0
188.24,2.121,2.121,3.0
189.16,2.121,2.121,3.0
190.12,2.121,2.121,3.0
190.99,2.121,2.121,3.0
191.85,2.121,2.121,3.0
192.72,2.121,2.121,3.0
193.58,2.121,2.121,3.0
194.5,2.121,2.121,3.0
195.42,2.121,2.121,3.0
196.28,2.121,2.121,3.0
197.15,2.121,2.121,3.0
198.06,2.121,2.121,3.0
198.98,2.121,2.121,3.0
199.84,2.121,2.121,3.0
200.71,2.121,2.121,3.0
201.57,2.121,2.121,3.0
202.44,2.121,2.121,3.0
203.31,2.121,2.121,3.0
204.17,2.121,2.121,3.0
205.14,2.121,2.121,3.0
206.0,2.121,2.121,3.0
206.87,2.121,2.121,3.0
207.78,2.121,2.121,3.0
208.65,2.121,2.121,3.0
209.56,2.121,2.121,3.0
210.48,2.121,2.121,3.0
211.34,2.121,2.121,3.0
212.21,2.121,2.121,3.0
213.18,2.121,2.121,3.0
214.14,2.121,2.121,3.0
215.01,2.121,2.121,3.0
215.87,2.121,2.121,3.0
216.74,2.121,2.121,3.0
217.61,2.121,2.121,3.0
218.47,2.121,2.121,3.0
219.34,2.121,2.121,3.0
220.2,2.121,2.121,3.0
221.17,2.121,2.121,3.0
222.13,2.121,2.121,3.0
223.0,2.121,2.121,3.0
223.86,2.121,2.121,3.0
224.78,2.121,2.121,3.0
225.64,2.121,2.121,3.0
226.51,2.121,2.121,3.0
227.38,2.121,2.121,3.0
228.24,2.121,2.121,3.0
229.16,2.121,2.121,3.0
230.02,2.121,2.121,3.0
230.89,2.121,2.121,3.0
231.75,2.121,2.121,3.0
232.62,2.121,2.121,3.0
233.54,2.121,2.121,3.0
234.4,2.121,2.121,3.0
235.27,2.121,2.121,3.0
236.18,2.121,2.121,3.0
237.15,2.121,2.121,3.0
238.06,2.121,2.121,3.0
238.98,2.121,2.121,3.0
239.85,2.121,2.121,3.0
240.71,2.121,2.121,3.0
241.63,2.121,2.121,3.0
242.49,2.121,2.121,3.0
243.36,2.121,2.121,3.0
244.27,2.121,2.121,3.0
245.19,2.121,2.121,3.0
246.15,2.121,2.121,3.0
247.02,2.121,2.121,3.0
247.88,2.121,2.121,3.0
248.75,2.121,2.121,3.0
249.62,2.121,2.121,3.0
250.48,2.121,2.121,3.0
251.4,2.121,2.121,3.0
252.26,2.121,2.121,3.0
253.18,2.121,2.121,3.0
254.04,2.121,2.121,3.0
254.91,2.121,2.121,3.0
255.77,2.121,2.121,3.0
256.64,2.121,2.121,3.0
257.51,2.121,2.121,3.0
258.37,2.121,2.121,3.0
259.24,2.121,2.121,3.0
260.15,2.121,2.121,3.0
261.07,2.121,2.121,3.0
261.93,2.121,2.121,3.0
262.8,2.121,2.121,3.0
263.72,2.121,2.121,3.0
264.58,2.121,2.121,3.0
265.45,2.121,2.121,3.0
266.31,2.121,2.121,3.0
267.18,2.121,2.121,3.0
268.1,2.121,2.121,3.0
268.96,2.121,2.121,3.0
269.83,2.121,2.121,3.0
270.69,2.121,2.121,3.0
271.56,2.121,2.121,3.0
272.42,2.121,2.121,3.0
273.29,2.121,2.121,3.0
274.16,2.121,2.121,3.0
275.02,2.121,2.121,3.0
275.89,2.121,2.121,3.0
276.75,2.121,2.121,3.0
277.62,2.121,2.121,3.0
278.48,2.121,2.121,3.0
279.35,2.121,2.121,3.0
280.22,2.121,2.121,3.0
281.18,2.121,2.121,3.0
282.1,2.121,2.121,3.0
282.96,2.121,2.121,3.0
283.83,2.121,2.121,3.0
284.69,2.121,2.121,3.0
285.56,2.121,2.121,3.0
286.42,2.121,2.121,3.0
287.29,2.121,2.121,3.0
288.21,2.121,2.121,3.0
289.17,2.121,2.121,3.0
290.04,2.121,2.121,3.0
290.9,2.121,2.121,3.0
291.77,2.121,2.121,3.0
292.63,2.121,2.121,3.0
293.5,2.121,2.121,3.0
294.36,2.121,2.121,3.0
295.23,2.121,2.121,3.0
296.2,2.121,2.121,3.0
297.16,2.121,2.121,3.0
298.08,2.121,2.121,3.0
298.99,2.121,2.121,3.0
299.86,2.121,2.121,3.0
300.72,2.121,2.121,3.0
301.59,2.121,2.121,3.0
302.46,2.121,2.121,3.0
303.32,2.121,2.121,3.0
304.19,2.121,2.121,3.0
305.05,2.121,2.121,3.0
305.97,2.121,2.121,3.0
306.88,2.121,2.121,3.0
307.8,2.121,2.121,3.0
308.66,2.121,2.121,3.0
309.53,2.121,2.121,3.0
310.39,2.121,2.121,3.0
311.31,2.121,2.121,3.0
312.18,2.121,2.121,3.0
313.04,2.121,2.121,3.0
313.91,2.121,2.121,3.0
314.77,2.121,2.121,3.0
315.64,2.121,2.121,3.0
316.51,2.121,2.121,3.0
317.37,2.121,2.121,3.0
318.24,2.121,2.121,3.0
319.2,2.121,2.121,3.0
320.07,2.121,2.121,3.0
320.93,2.121,2.121,3.0
321.8,2.121,2.121,3.0
322.66,2.121,2.121,3.0
323.53,2.121,2.121,3.0
324.39,2.121,2.121,3.0
325.26,2.121,2.121,3.0
326.18,2.121,2.121,3.0
327.04,2.121,2.121,3.0
327.91,2.121,2.121,3.0
328.77,2.121,2.121,3.0
329.64,2.121,2.121,3.0
330.5,2.121,2.121,3.0
331.37,2.121,2.121,3.0
332.24,2.121,2.121,3.0
333.2,2.121,2.121,3.0
334.07,2.121,2.121,3.0
334.93,2.121,2.121,3.0
335.85,2.121,2.121,3.0
336.76,2.121,2.121,3.0
337.63,2.121,2.121,3.0
338.49,2.121,2.121,3.0
339.36,2.121,2.121,3.0
