num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
5, 3000, 50, 934, 196700.0, 196700.0, 53.37620578778135
5, 3500, 50, 936, 197450.0, 197450.0, 53.2620320855615
5, 4000, 50, 935, 196700.0, 196700.0, 53.319057815845824
5, 4500, 50, 818, 172400.0, 172400.0, 60.83231334149327
5, 5000, 50, 924, 194650.0, 194650.0, 53.95449620801733
5, 1500, 60, 860, 171200.0, 171200.0, 57.85797438882422
5, 2000, 60, 968, 192500.0, 192500.0, 51.39607032057911
5, 2500, 60, 930, 182950.0, 182950.0, 53.498385360602796
5, 3000, 60, 994, 196050.0, 196050.0, 50.0
5, 3500, 60, 990, 195050.0, 195050.0, 50.20222446916077
5, 4000, 60, 911, 178950.0, 178950.0, 54.56043956043956
5, 4500, 60, 995, 195400.0, 195400.0, 49.94969818913481
5, 5000, 60, 995, 195500.0, 195500.0, 49.94969818913481
5, 1500, 70, 961, 184900.0, 184900.0, 51.71875
5, 2000, 70, 902, 172100.0, 172100.0, 55.27192008879023
5, 2500, 70, 995, 187700.0, 187700.0, 49.94969818913481
5, 3000, 70, 1019, 191900.0, 191900.0, 48.919449901768175
5, 3500, 70, 879, 163300.0, 163300.0, 56.662870159453306
5, 4000, 70, 1047, 195550.0, 195550.0, 47.60994263862333
5, 4500, 70, 917, 168550.0, 168550.0, 54.366812227074234
5, 5000, 70, 911, 168750.0, 168750.0, 54.67032967032967
5, 1500, 80, 887, 169300.0, 169300.0, 56.32054176072235
5, 2000, 80, 900, 169200.0, 169200.0, 55.506117908787544
5, 2500, 80, 890, 166750.0, 166750.0, 56.130483689538806
5, 3000, 80, 914, 170950.0, 170950.0, 54.65498357064622
5, 3500, 80, 908, 168550.0, 168550.0, 55.01653803748622
5, 4000, 80, 861, 160850.0, 160850.0, 58.02325581395349
5, 4500, 80, 862, 160800.0, 160800.0, 57.955865272938446
5, 5000, 80, 942, 170650.0, 170650.0, 53.028692879914985
5, 1500, 90, 1014, 190100.0, 190100.0, 49.11154985192498
5, 2000, 90, 1031, 191600.0, 191600.0, 48.349514563106794
5, 2500, 90, 1047, 194250.0, 194250.0, 47.56214149139579
5, 3000, 90, 1065, 197250.0, 197250.0, 46.75751879699248
5, 3500, 90, 1063, 196800.0, 196800.0, 46.845574387947266
5, 4000, 90, 1068, 197350.0, 197350.0, 46.67291471415183
5, 4500, 90, 1064, 196150.0, 196150.0, 46.84854186265287
5, 5000, 90, 1073, 197100.0, 197100.0, 46.40858208955224
6, 1500, 50, 1209, 232650.0, 232650.0, 41.22516556291391
6, 2000, 50, 1251, 238400.0, 238400.0, 39.84
6, 2500, 50, 1099, 208400.0, 208400.0, 45.3551912568306
6, 3000, 50, 1112, 211250.0, 211250.0, 44.82448244824482
6, 3500, 50, 1255, 238000.0, 238000.0, 39.71291866028708
6, 4000, 50, 1260, 238750.0, 238750.0, 39.515488482922954
6, 4500, 50, 1108, 209400.0, 209400.0, 44.986449864498645
6, 5000, 50, 1283, 241950.0, 241950.0, 38.84555382215289
6, 1500, 60, 1174, 209350.0, 209350.0, 42.327365728900254
6, 2000, 60, 1299, 228050.0, 228050.0, 38.28967642526965
6, 2500, 60, 1187, 210800.0, 210800.0, 41.90556492411467
6, 3000, 60, 1137, 205350.0, 205350.0, 43.75
6, 3500, 60, 1227, 215700.0, 215700.0, 40.53833605220228
6, 4000, 60, 1161, 207750.0, 207750.0, 42.8448275862069
6, 4500, 60, 1341, 233100.0, 233100.0, 37.08955223880597
6, 5000, 60, 1347, 234650.0, 234650.0, 36.92421991084695
6, 1500, 70, 1323, 227950.0, 227950.0, 37.70801815431165
6, 2000, 70, 1148, 198700.0, 198700.0, 43.50479511769834
6, 2500, 70, 1351, 229000.0, 229000.0, 36.925925925925924
6, 3000, 70, 1388, 235550.0, 235550.0, 35.97692862292718
6, 3500, 70, 1399, 237200.0, 237200.0, 35.693848354792564
6, 4000, 70, 1180, 202550.0, 202550.0, 42.324003392705684
6, 4500, 70, 1418, 240050.0, 240050.0, 35.21524347212421
6, 5000, 70, 1407, 237950.0, 237950.0, 35.49075391180654
6, 1500, 80, 1166, 199350.0, 199350.0, 42.832618025751074
6, 2000, 80, 1368, 226450.0, 226450.0, 36.50329188002926
6, 2500, 80, 1322, 220850.0, 220850.0, 37.69871309613929
6, 3000, 80, 1436, 237650.0, 237650.0, 34.77351916376307
6, 3500, 80, 1382, 227300.0, 227300.0, 36.133236784938454
6, 4000, 80, 1434, 237150.0, 237150.0, 34.82205163991626
6, 4500, 80, 1435, 236400.0, 236400.0, 34.79776847977685
6, 5000, 80, 1146, 192650.0, 192650.0, 43.580786026200876
