num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
5, 3000, 50, 810, 190600.0, 190600.0, 61.495673671199015
5, 3500, 50, 858, 199700.0, 199700.0, 57.93465577596266
5, 4000, 50, 665, 152750.0, 152750.0, 74.54819277108433
5, 4500, 50, 750, 168850.0, 168850.0, 66.48865153538051
5, 5000, 50, 762, 168650.0, 168650.0, 65.30880420499344
5, 1500, 60, 601, 159950.0, 159950.0, 82.83333333333333
5, 2000, 60, 791, 189150.0, 189150.0, 62.91139240506329
5, 2500, 60, 854, 192950.0, 192950.0, 58.26494724501759
5, 3000, 60, 837, 183450.0, 183450.0, 59.389952153110045
5, 3500, 60, 824, 180950.0, 180950.0, 60.267314702308624
5, 4000, 60, 923, 197450.0, 197450.0, 53.850325379609544
5, 4500, 60, 933, 195300.0, 195300.0, 53.32618025751073
5, 5000, 60, 809, 168650.0, 168650.0, 61.50990099009901
5, 1500, 70, 600, 158400.0, 158400.0, 83.0550918196995
5, 2000, 70, 872, 191450.0, 191450.0, 57.175660160734786
5, 2500, 70, 934, 199600.0, 199600.0, 53.37620578778135
5, 3000, 70, 832, 179600.0, 179600.0, 59.80746089049338
5, 3500, 70, 965, 196850.0, 196850.0, 51.6597510373444
5, 4000, 70, 974, 196300.0, 196300.0, 51.18191161356629
5, 4500, 70, 1019, 202000.0, 202000.0, 48.87033398821218
5, 5000, 70, 896, 181350.0, 181350.0, 55.53072625698324
5, 1500, 80, 781, 188350.0, 188350.0, 63.91025641025641
5, 2000, 80, 702, 154600.0, 154600.0, 71.11269614835949
5, 2500, 80, 863, 178000.0, 178000.0, 57.88863109048724
5, 3000, 80, 908, 183350.0, 183350.0, 55.01653803748622
5, 3500, 80, 891, 177850.0, 177850.0, 56.06741573033708
5, 4000, 80, 671, 138350.0, 138350.0, 74.4776119402985
5, 4500, 80, 935, 180900.0, 180900.0, 53.42612419700214
5, 5000, 80, 973, 189000.0, 189000.0, 51.33744855967078
5, 1500, 90, 739, 170450.0, 170450.0, 67.41192411924119
5, 2000, 90, 769, 171850.0, 171850.0, 64.84375
5, 2500, 90, 941, 198950.0, 198950.0, 52.97872340425532
5, 3000, 90, 915, 188800.0, 188800.0, 54.48577680525164
5, 3500, 90, 875, 169150.0, 169150.0, 56.8649885583524
5, 4000, 90, 1009, 199700.0, 199700.0, 49.35515873015873
5, 4500, 90, 1027, 201200.0, 201200.0, 48.39181286549707
5, 5000, 90, 902, 177800.0, 177800.0, 55.21642619311876
6, 1500, 50, 871, 223500.0, 223500.0, 57.18390804597701
6, 2000, 50, 794, 184000.0, 184000.0, 62.73644388398487
6, 2500, 50, 1084, 240300.0, 240300.0, 45.983379501385045
6, 3000, 50, 795, 167000.0, 167000.0, 62.72040302267003
6, 3500, 50, 846, 177550.0, 177550.0, 58.81656804733728
6, 4000, 50, 947, 195550.0, 195550.0, 52.64270613107822
6, 4500, 50, 1135, 233350.0, 233350.0, 43.91534391534392
6, 5000, 50, 1099, 225400.0, 225400.0, 45.3551912568306
6, 1500, 60, 487, 114300.0, 114300.0, 102.26337448559671
6, 2000, 60, 1022, 215700.0, 215700.0, 48.67776689520078
6, 2500, 60, 1003, 205750.0, 205750.0, 49.600798403193615
6, 3000, 60, 1026, 208950.0, 208950.0, 48.48780487804878
6, 3500, 60, 1207, 232600.0, 232600.0, 41.2106135986733
6, 4000, 60, 1128, 213800.0, 213800.0, 43.96628216503993
6, 4500, 60, 1259, 237300.0, 237300.0, 39.507154213036564
6, 5000, 60, 1266, 236250.0, 236250.0, 39.28853754940712
6, 1500, 70, 877, 190500.0, 190500.0, 56.9634703196347
6, 2000, 70, 895, 193950.0, 193950.0, 55.8165548098434
6, 2500, 70, 1189, 232200.0, 232200.0, 41.91919191919192
6, 3000, 70, 1214, 230600.0, 230600.0, 41.0964550700742
6, 3500, 70, 1175, 221500.0, 221500.0, 42.50425894378194
6, 4000, 70, 1135, 210450.0, 210450.0, 43.91534391534392
6, 4500, 70, 1259, 230700.0, 230700.0, 39.66613672496025
6, 5000, 70, 1097, 194100.0, 194100.0, 45.52919708029197
6, 1500, 80, 651, 150300.0, 150300.0, 76.6923076923077
