num_ugvs,ugv_range,maze_loop_percentage,tasks_completed,distance_traveled,energy_consumed,avg_task_completion_time
5, 3000, 50, 815, 190400.0, 190400.0, 60.995085995085994
5, 3500, 50, 860, 198950.0, 198950.0, 57.741559953434226
5, 4000, 50, 847, 190000.0, 190000.0, 58.51063829787234
5, 4500, 50, 885, 198400.0, 198400.0, 56.334841628959275
5, 5000, 50, 761, 169250.0, 169250.0, 65.39473684210526
5, 1500, 60, 601, 159350.0, 159350.0, 82.83333333333333
5, 2000, 60, 806, 190950.0, 190950.0, 61.73913043478261
5, 2500, 60, 879, 197850.0, 197850.0, 56.54897494305239
5, 3000, 60, 841, 183600.0, 183600.0, 59.107142857142854
5, 3500, 60, 833, 181850.0, 181850.0, 59.67548076923077
5, 4000, 60, 934, 198800.0, 198800.0, 53.21543408360129
5, 4500, 60, 936, 194700.0, 194700.0, 53.101604278074866
5, 5000, 60, 967, 200100.0, 200100.0, 51.44927536231884
5, 1500, 70, 795, 193700.0, 193700.0, 62.72040302267003
5, 2000, 70, 876, 191600.0, 191600.0, 56.91428571428571
5, 2500, 70, 941, 200200.0, 200200.0, 52.765957446808514
5, 3000, 70, 938, 196350.0, 196350.0, 53.04162219850587
5, 3500, 70, 966, 196000.0, 196000.0, 51.347150259067355
5, 4000, 70, 975, 195450.0, 195450.0, 51.078028747433265
5, 4500, 70, 1012, 200000.0, 200000.0, 49.15924826904055
5, 5000, 70, 998, 196900.0, 196900.0, 49.949849548645936
5, 1500, 80, 784, 187700.0, 187700.0, 63.665389527458494
5, 2000, 80, 721, 155750.0, 155750.0, 69.16666666666667
5, 2500, 80, 868, 178000.0, 178000.0, 57.497116493656286
5, 3000, 80, 789, 162500.0, 162500.0, 63.3248730964467
5, 3500, 80, 841, 165950.0, 165950.0, 59.404761904761905
5, 4000, 80, 883, 174800.0, 174800.0, 56.57596371882086
5, 4500, 80, 948, 182150.0, 182150.0, 52.69271383315734
5, 5000, 80, 980, 187400.0, 187400.0, 50.97037793667007
5, 1500, 90, 757, 172850.0, 172850.0, 65.8068783068783
5, 2000, 90, 911, 195200.0, 195200.0, 54.72527472527472
5, 2500, 90, 952, 200250.0, 200250.0, 52.36593059936909
5, 3000, 90, 967, 197650.0, 197650.0, 51.5527950310559
5, 3500, 90, 877, 169650.0, 169650.0, 56.7351598173516
5, 4000, 90, 1020, 200100.0, 200100.0, 48.82237487733072
5, 4500, 90, 1040, 201600.0, 201600.0, 47.88257940327238
5, 5000, 90, 913, 178000.0, 178000.0, 54.550438596491226
6, 1500, 50, 881, 222300.0, 222300.0, 56.42045454545455
6, 2000, 50, 901, 207200.0, 207200.0, 55.333333333333336
6, 2500, 50, 1080, 239450.0, 239450.0, 46.15384615384615
6, 3000, 50, 955, 197900.0, 197900.0, 52.20125786163522
6, 3500, 50, 856, 179250.0, 179250.0, 57.83625730994152
6, 4000, 50, 955, 194950.0, 194950.0, 52.20125786163522
6, 4500, 50, 1084, 219350.0, 219350.0, 45.983379501385045
6, 5000, 50, 1097, 223300.0, 223300.0, 45.43795620437956
6, 1500, 60, 597, 130700.0, 130700.0, 83.38926174496645
6, 2000, 60, 1041, 217800.0, 217800.0, 47.78846153846154
6, 2500, 60, 1018, 206900.0, 206900.0, 48.869223205506394
6, 3000, 60, 1200, 234750.0, 234750.0, 41.4512093411176
6, 3500, 60, 1222, 234300.0, 234300.0, 40.7043407043407
6, 4000, 60, 1142, 215450.0, 215450.0, 43.426818580192815
6, 4500, 60, 1261, 236900.0, 236900.0, 39.44444444444444
6, 5000, 60, 1261, 234950.0, 234950.0, 39.44444444444444
6, 1500, 70, 881, 189950.0, 189950.0, 56.70454545454545
6, 2000, 70, 1113, 227250.0, 227250.0, 44.87410071942446
6, 2500, 70, 1180, 229550.0, 229550.0, 42.324003392705684
6, 3000, 70, 1205, 227800.0, 227800.0, 41.44518272425249
6, 3500, 70, 1176, 220550.0, 220550.0, 42.46808510638298
6, 4000, 70, 1177, 216050.0, 216050.0, 42.43197278911565
6, 4500, 70, 1301, 236400.0, 236400.0, 38.38461538461539
6, 5000, 70, 1086, 191850.0, 191850.0, 45.99078341013825
6, 1500, 80, 651, 150200.0, 150200.0, 76.6923076923077
6, 2000, 80, 1057, 204300.0, 204300.0, 47.253787878787875
6, 2500, 80, 1153, 211100.0, 211100.0, 43.31597222222222
6, 3000, 80, 1224, 221250.0, 221250.0, 40.80130825838103
6, 3500, 80, 1230, 217200.0, 217200.0, 40.60211554109032
6, 4000, 80, 1230, 215250.0, 215250.0, 40.60211554109032
6, 4500, 80, 1295, 222800.0, 222800.0, 38.56259659969088
6, 5000, 80, 1342, 231850.0, 231850.0, 37.2110365398956
6, 1500, 90, 1054, 211750.0, 211750.0, 47.34093067426401
6, 2000, 90, 1095, 208250.0, 208250.0, 45.61243144424132
6, 2500, 90, 1104, 203150.0, 203150.0, 45.24025385312783
6, 3000, 90, 1354, 242500.0, 242500.0, 36.73318551367332
6, 3500, 90, 1155, 198150.0, 198150.0, 43.067590987868286
6, 4000, 90, 1377, 239300.0, 239300.0, 36.2281976744186
6, 4500, 90, 1401, 239500.0, 239500.0, 35.57142857142857
6, 5000, 90, 1410, 239100.0, 239100.0, 35.379701916252664
7, 1500, 50, 909, 197650.0, 197650.0, 54.90088105726872
7, 2000, 50, 1181, 251050.0, 251050.0, 42.24576271186441
7, 2500, 50, 1375, 280300.0, 280300.0, 36.28093158660844
7, 3000, 50, 1081, 213000.0, 213000.0, 46.157407407407405
7, 3500, 50, 1425, 274350.0, 274350.0, 35.00702247191011
7, 4000, 50, 1406, 267800.0, 267800.0, 35.480427046263344
7, 4500, 50, 1381, 265750.0, 265750.0, 36.1231884057971
7, 5000, 50, 1421, 266950.0, 266950.0, 35.105633802816904
7, 1500, 60, 879, 186450.0, 186450.0, 56.54897494305239
7, 2000, 60, 1187, 238850.0, 238850.0, 41.863406408094434
7, 2500, 60, 1295, 249700.0, 249700.0, 38.4080370942813
7, 3000, 60, 1449, 273950.0, 273950.0, 34.3232044198895
7, 3500, 60, 1244, 227950.0, 227950.0, 39.86323411102172
7, 4000, 60, 1365, 252250.0, 252250.0, 36.40029325513196
7, 4500, 60, 1507, 271850.0, 271850.0, 33.00132802124834
7, 5000, 60, 1543, 276050.0, 276050.0, 32.19844357976654
7, 1500, 70, 965, 197800.0, 197800.0, 51.711618257261414
7, 2000, 70, 1318, 253050.0, 253050.0, 37.81321184510251
7, 2500, 70, 1455, 262650.0, 262650.0, 34.3191196698762
7, 3000, 70, 1287, 221150.0, 221150.0, 38.64696734059098
7, 3500, 70, 1507, 253400.0, 253400.0, 33.06772908366534
7, 4000, 70, 1672, 277350.0, 277350.0, 29.8623578695392
7, 4500, 70, 1568, 255900.0, 255900.0, 31.844288449266113
7, 5000, 70, 1586, 258700.0, 258700.0, 31.482649842271293
7, 1500, 80, 1004, 185550.0, 185550.0, 49.65104685942173
7, 2000, 80, 1374, 241750.0, 241750.0, 36.343772760378734
7, 2500, 80, 1531, 255700.0, 255700.0, 32.61437908496732
7, 3000, 80, 1178, 200050.0, 200050.0, 42.39592183517417
7, 3500, 80, 1419, 231050.0, 231050.0, 35.19040902679831
7, 4000, 80, 1606, 254700.0, 254700.0, 31.090342679127726
7, 4500, 80, 1671, 261800.0, 261800.0, 29.880239520958085
7, 5000, 80, 1539, 244950.0, 244950.0, 32.444733420026004
7, 1500, 90, 1177, 240450.0, 240450.0, 42.26190476190476
7, 2000, 90, 1131, 204800.0, 204800.0, 44.07079646017699
7, 2500, 90, 1240, 212800.0, 212800.0, 40.15334947538337
7, 3000, 90, 1289, 218400.0, 218400.0, 38.703416149068325
7, 3500, 90, 1528, 254250.0, 254250.0, 32.514734774066795
7, 4000, 90, 1456, 240800.0, 240800.0, 34.123711340206185
7, 4500, 90, 1731, 278600.0, 278600.0, 28.84393063583815
7, 5000, 90, 1671, 264900.0, 264900.0, 29.850299401197606
