num_evs,num_tasks,ev_range,maze_loop_percentage,maze_size,bms,timesteps,num_tasks_finished,ev_distance,drone_distance
10,1700,3000,90,49,1,913,1202,4250.0,6884.21415150924
4,1700,3000,90,47,1,909,1247,2384.0,8281.134689193626
10,1500,3000,90,42,1,401,1335,2926.0,6425.234232384176
10,1600,3000,90,40,1,479,1425,2948.0,6457.249388881292
