num_evs,num_tasks,ev_range,maze_loop_percentage,maze_size,bms,timesteps,num_tasks_finished,ev_distance,drone_distance
9,40,3000,65,35,1,109,37,598.0,584.6524734651118
9,40,3000,65,37,1,219,36,694.0,468.43316612777664
9,40,3000,60,43,1,77,25,482.0,507.55902631638867
9,40,3000,70,40,0,231,30,812.0,0.0
9,40,3000,75,41,1,177,31,574.0,586.9503015743164
9,40,3000,60,43,0,119,16,558.0,0.0
9,40,3000,90,47,0,177,32,872.0,0.0
9,40,3000,60,39,0,111,28,634.0,0.0
9,40,3000,75,37,1,117,40,650.0,646.2243262249369
9,40,3000,65,35,0,209,35,864.0,0.0
9,40,3000,65,39,1,163,33,810.0,717.9107675638329
9,40,3000,65,41,0,195,29,770.0,0.0
9,40,3000,70,48,1,117,27,606.0,654.7718202493842
9,40,3000,60,48,0,217,20,586.0,0.0
9,40,3000,60,35,0,219,29,646.0,0.0
9,40,3000,90,42,0,165,30,952.0,0.0
9,40,3000,65,46,1,165,27,582.0,493.0482143069085
9,40,3000,75,42,0,111,35,706.0,0.0
9,40,3000,75,47,1,111,26,580.0,496.4024199291101
9,40,3000,75,38,0,115,36,708.0,0.0
9,40,3000,85,50,1,89,22,422.0,553.9749865685844
9,40,3000,75,45,1,165,34,642.0,771.1743064462693
9,40,3000,80,48,0,149,23,626.0,0.0
9,40,3000,75,39,1,115,33,612.0,565.982874921899
9,40,3000,90,48,1,125,30,502.0,575.2301945275392
9,40,3000,90,38,1,105,35,614.0,495.67390120900717
9,40,3000,60,47,0,167,27,752.0,0.0
9,40,3000,60,40,0,159,28,836.0,0.0
9,40,3000,85,48,1,163,34,902.0,902.1924119910017
9,40,3000,75,48,0,167,24,670.0,0.0
9,40,3000,60,47,0,211,23,618.0,0.0
9,40,3000,60,48,1,91,19,344.0,366.3276682822388
9,40,3000,80,38,0,171,35,734.0,0.0
9,40,3000,60,45,1,117,20,540.0,424.2784620467672
9,40,3000,65,42,0,161,23,604.0,0.0
9,40,3000,65,41,1,103,32,558.0,587.1520698373594
9,40,3000,65,47,1,115,19,356.0,345.5141779499559
9,40,3000,90,39,0,163,31,892.0,0.0
9,40,3000,85,48,1,165,29,658.0,652.4237515307549
9,40,2900,60,42,1,87,29,424.0,440.03203769664634
9,40,3000,75,49,0,99,18,508.0,0.0
9,40,2900,70,37,1,137,34,592.0,590.8598193340613
9,40,2900,85,43,1,111,30,518.0,576.3569559277679
9,40,2900,70,42,1,147,34,644.0,546.7663977409214
9,40,2900,70,49,0,143,17,384.0,0.0
9,40,2900,85,49,0,111,20,494.0,0.0
9,40,2900,90,49,0,109,23,506.0,0.0
9,40,2900,90,49,0,171,21,698.0,0.0
9,40,2900,70,38,1,89,39,592.0,684.9685835886389
9,40,2900,70,41,0,163,31,826.0,0.0
9,40,2900,70,41,0,169,34,806.0,0.0
9,40,2900,70,44,0,165,27,802.0,0.0
9,40,2900,90,42,1,115,35,684.0,692.010958733343
9,40,2900,75,46,1,131,24,414.0,365.7075004109446
9,40,2900,65,36,0,207,39,890.0,0.0
9,40,2900,60,35,1,169,38,702.0,620.3594211374635
9,40,2900,90,47,1,133,33,588.0,561.9744376630368
9,40,2900,60,39,0,145,34,674.0,0.0
9,40,2900,90,39,1,99,35,466.0,635.5773255691266
9,40,2900,80,38,0,115,37,678.0,0.0
9,40,2900,60,38,1,285,35,758.0,745.1956091279859
9,40,2900,90,37,1,97,36,448.0,699.047121319129
9,40,2900,85,45,0,211,32,804.0,0.0
9,40,2900,75,43,1,159,29,682.0,532.1845133646345
9,40,2900,80,39,0,151,30,664.0,0.0
9,40,2900,90,37,0,169,38,768.0,0.0
9,40,2900,60,49,0,147,19,504.0,0.0
9,40,2900,85,44,1,81,33,516.0,561.9314640212707
9,40,2900,65,48,1,131,19,412.0,443.62478909397555
9,40,2900,60,39,0,151,32,796.0,0.0
9,40,2900,90,38,1,91,39,562.0,485.46256126158886
9,40,2900,85,47,0,171,28,822.0,0.0
9,40,2900,90,35,1,69,38,452.0,484.9110870638334
9,40,2900,60,44,0,115,16,492.0,0.0
9,40,2900,75,50,1,77,20,352.0,557.5278628392072
9,40,2900,60,43,0,163,23,594.0,0.0
9,40,2900,90,35,0,205,35,776.0,0.0
9,40,2900,85,36,1,113,37,632.0,537.2766239929317
9,40,2900,60,41,0,149,27,706.0,0.0
9,40,2800,65,40,0,151,24,616.0,0.0
9,40,2800,65,43,1,163,31,660.0,467.50172447800935
9,40,2800,90,36,1,103,38,606.0,618.3564186973273
9,40,2900,70,45,1,161,26,626.0,726.1593292678183
9,40,2800,70,35,0,145,38,672.0,0.0
9,40,2800,70,37,0,107,30,666.0,0.0
9,40,2800,90,37,1,145,39,748.0,656.7883516347413
9,40,2800,80,40,1,95,29,438.0,451.1990747757544
9,40,2800,75,41,0,263,28,748.0,0.0
9,40,2800,60,45,1,157,26,618.0,557.4316153648377
9,40,2800,75,46,0,159,23,536.0,0.0
9,40,2800,65,38,0,245,28,820.0,0.0
9,40,2800,60,37,1,105,28,568.0,467.25733940104885
9,40,2800,65,44,1,159,23,548.0,356.4490588766703
9,40,2800,65,40,1,103,25,534.0,480.355559982396
9,40,2800,75,48,1,167,26,736.0,708.1865401415238
9,40,2800,60,45,0,143,17,440.0,0.0
9,40,2800,60,47,0,109,21,504.0,0.0
9,40,2800,80,40,0,103,29,590.0,0.0
9,40,2800,85,42,1,159,26,560.0,460.7844797555906
9,40,2800,80,44,0,205,32,726.0,0.0
9,40,2800,75,42,1,83,30,392.0,528.7894551824423
9,40,2800,60,44,0,255,26,692.0,0.0
9,40,2800,65,41,0,155,23,698.0,0.0
9,40,2800,65,44,1,151,34,520.0,718.6726876033634
9,40,2800,70,37,1,161,33,714.0,559.1056534028961
9,40,2800,75,39,0,127,28,618.0,0.0
9,40,2800,70,37,1,151,32,572.0,600.3883767291692
9,40,2800,70,37,1,209,33,668.0,575.8918985958603
9,40,2800,70,46,0,199,23,584.0,0.0
9,40,2800,60,42,0,203,22,624.0,0.0
9,40,2800,60,46,1,129,25,462.0,294.8058530450495
9,40,2800,75,39,0,157,23,452.0,0.0
9,40,2800,60,37,0,153,31,596.0,0.0
9,40,2800,70,35,1,157,34,700.0,511.9552281041897
9,40,2800,60,35,0,155,32,796.0,0.0
9,40,2800,60,49,1,105,18,428.0,327.8259106261312
9,40,2800,60,43,0,207,24,596.0,0.0
9,40,2800,90,46,1,89,24,466.0,345.374021582536
9,40,2800,60,49,1,115,18,328.0,267.50220826650457
9,40,2800,85,49,0,109,19,584.0,0.0
9,40,2700,75,48,1,135,21,532.0,495.13475547600274
9,40,2700,80,42,0,153,24,656.0,0.0
9,40,2700,75,43,0,145,27,578.0,0.0
9,40,2700,80,50,1,151,24,550.0,556.0045146327416
9,40,2700,80,45,0,93,17,464.0,0.0
9,40,2700,65,44,1,145,26,586.0,639.8247617592142
9,40,2700,60,46,0,53,15,332.0,0.0
9,40,2700,85,48,1,199,25,600.0,606.3288408739598
9,40,2700,70,46,1,95,21,554.0,382.5350042240548
9,40,2700,75,50,0,131,13,320.0,0.0
9,40,2700,80,40,1,103,30,554.0,460.334077737058
9,40,2700,60,40,1,101,29,554.0,504.07604363388276
9,40,2700,80,48,0,105,18,526.0,0.0
9,40,2700,85,45,0,151,26,642.0,0.0
9,40,2700,65,37,0,103,29,536.0,0.0
9,40,2700,75,48,1,105,20,432.0,560.7265226037474
9,40,2700,85,48,0,143,22,524.0,0.0
9,40,2700,85,45,1,153,32,668.0,668.8738306553201
9,40,2700,90,41,1,133,28,684.0,516.370373097603
9,40,2700,75,43,0,159,22,568.0,0.0
9,40,2700,70,40,1,103,32,620.0,624.3424589530991
9,40,2700,70,47,1,103,23,536.0,282.59543287730537
9,40,2700,70,48,0,137,16,410.0,0.0
9,40,2700,65,43,1,125,27,436.0,533.1009838385753
9,40,2700,80,44,0,107,21,554.0,0.0
9,40,2700,70,40,0,153,25,630.0,0.0
9,40,2700,70,40,0,143,23,596.0,0.0
9,40,2700,70,36,0,155,32,702.0,0.0
9,40,2700,85,38,1,151,36,616.0,584.0958873381752
9,40,2700,80,42,1,119,28,442.0,525.6571748320442
9,40,2700,80,47,1,133,24,434.0,387.8139924989888
9,40,2700,75,40,0,157,30,800.0,0.0
9,40,2700,85,43,1,103,30,554.0,627.979648495758
9,40,2700,75,38,1,149,35,658.0,574.6243452479698
9,40,2700,60,38,0,255,29,908.0,0.0
9,40,2700,60,43,1,105,19,376.0,305.5061501875816
9,40,2700,70,41,0,105,24,540.0,0.0
9,40,2700,90,42,0,139,24,550.0,0.0
9,40,2700,70,46,0,161,29,706.0,0.0
9,40,2600,65,36,0,151,32,640.0,0.0
9,40,2600,90,36,1,71,30,376.0,359.5633908289388
9,40,2600,90,36,0,145,32,766.0,0.0
9,40,2600,90,37,1,125,34,530.0,526.6122871736135
9,40,2700,90,50,1,105,21,378.0,429.6138364476176
9,40,2600,65,42,0,97,19,416.0,0.0
9,40,2600,90,45,1,139,24,514.0,433.96654445307684
9,40,2600,70,43,1,101,24,436.0,441.61027095358713
9,40,2600,75,38,1,95,33,470.0,457.8993356585346
9,40,2600,85,40,0,147,26,536.0,0.0
9,40,2600,75,48,0,143,20,528.0,0.0
9,40,2600,85,48,1,107,23,366.0,420.23663770741643
9,40,2600,90,48,0,89,20,418.0,0.0
9,40,2600,75,50,1,127,16,326.0,399.723272966696
9,40,2600,85,44,0,101,21,512.0,0.0
9,40,2600,60,35,0,153,30,742.0,0.0
9,40,2600,90,42,1,89,33,490.0,475.40475758170174
9,40,2600,90,39,1,97,31,430.0,625.6896150261956
9,40,2600,90,46,0,145,22,556.0,0.0
9,40,2600,60,37,1,95,24,390.0,438.5901755206764
9,40,2600,60,49,1,79,18,292.0,209.97657632380475
9,40,2600,80,48,0,187,22,548.0,0.0
9,40,2600,60,35,0,95,26,592.0,0.0
9,40,2600,90,35,0,97,33,618.0,0.0
9,40,2600,90,38,1,99,32,536.0,494.68409749716994
9,40,2600,80,47,1,91,23,458.0,396.88396205917616
9,40,2600,65,46,0,119,15,342.0,0.0
9,40,2600,65,48,0,207,21,472.0,0.0
9,40,2600,75,49,1,99,18,356.0,262.000458015208
9,40,2600,90,36,1,73,40,470.0,529.0951441258193
9,40,2600,90,37,0,145,27,594.0,0.0
9,40,2600,80,36,0,133,30,726.0,0.0
9,40,2600,75,38,0,135,26,548.0,0.0
9,40,2600,85,40,1,95,29,442.0,435.76220681593645
9,40,2600,80,42,1,143,26,538.0,409.71164205520387
9,40,2600,90,43,1,115,25,532.0,617.6937030363674
9,40,2600,85,35,0,147,36,734.0,0.0
9,40,2600,75,41,0,145,24,550.0,0.0
9,40,2600,80,39,0,141,26,558.0,0.0
9,40,2600,60,46,1,83,19,418.0,268.84127384052437
9,40,2500,85,44,1,103,23,460.0,487.5565996638367
9,40,2600,80,47,1,95,24,492.0,417.5139797700585
