num_evs,num_tasks,ev_range,maze_loop_percentage,maze_size,bms,timesteps,num_tasks_finished,ev_distance,drone_distance
9,40,500,70,48,0,13,3,14.0,0.0
9,40,500,80,48,1,13,2,14.0,33.0
9,40,500,65,44,0,15,3,16.0,0.0
9,40,500,65,36,1,0,0,0.0,0.0
9,40,500,60,46,1,9,1,10.0,14.960251867793962
9,40,500,70,35,1,9,1,10.0,0.0
9,40,500,85,49,0,0,0,0.0,0.0
9,40,500,85,40,1,7,1,8.0,10.939612870694795
9,40,500,75,41,0,0,0,0.0,0.0
9,40,500,85,43,1,9,1,10.0,11.352492843974419
9,40,500,80,36,0,0,0,0.0,0.0
9,40,500,80,39,1,9,1,10.0,18.0
9,40,500,85,49,0,0,0,0.0,0.0
9,40,500,90,48,0,0,0,0.0,0.0
9,40,500,85,35,0,1,1,2.0,0.0
9,40,500,90,36,0,13,3,20.0,0.0
9,40,500,65,36,1,7,1,8.0,4.47213595499958
9,40,500,60,41,1,0,0,0.0,0.0
9,40,500,85,38,0,0,0,0.0,0.0
9,40,500,65,42,1,7,1,8.0,14.06844942164225
9,40,500,75,46,0,0,0,0.0,0.0
9,40,500,90,47,1,0,0,0.0,0.0
9,40,500,90,43,0,21,3,22.0,0.0
9,40,500,75,46,1,7,1,8.0,10.965098420544818
9,40,500,90,46,0,15,2,16.0,0.0
9,40,500,90,49,0,0,0,0.0,0.0
9,40,500,65,50,1,5,1,6.0,12.0
9,40,500,75,47,1,0,0,0.0,0.0
9,40,500,70,36,1,0,0,0.0,0.0
9,40,500,90,44,0,9,1,10.0,0.0
9,40,500,75,41,0,5,1,6.0,0.0
9,40,500,75,47,1,0,0,0.0,0.0
9,40,500,65,46,0,0,0,0.0,0.0
9,40,500,65,44,0,0,0,0.0,0.0
9,40,500,85,40,0,0,0,0.0,0.0
9,40,500,90,49,1,0,0,0.0,0.0
9,40,500,65,43,0,0,0,0.0,0.0
9,40,500,85,43,1,0,0,0.0,0.0
9,40,500,80,50,1,0,0,0.0,0.0
9,40,500,65,40,1,9,2,10.0,19.009410494819406
9,40,500,75,38,0,15,2,16.0,0.0
9,40,500,90,44,1,0,0,0.0,0.0
9,40,500,60,36,1,1,1,2.0,2.0
9,40,500,85,42,0,19,2,20.0,0.0
9,40,500,90,38,0,9,2,10.0,0.0
